,,,,,,,,State
State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AL,35128,PELL,0.040000,0.100000,0,0.050000,0.010000,1
AL,35130,WALKER COUNTY,0.040000,0.060000,0.020000,0,0,3
AL,35131,RAGLAND,0.040000,0.100000,0,0.040000,0.020000,1
AL,35133,BLOUNT COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35135,RIVERSIDE,0.040000,0.100000,0,0.040000,0.020000,1
AL,35136,ROCKFORD,0.040000,0.090000,0.020000,0.030000,0,1
AL,35137,CALERA PJ (SHELBY CO),0.040000,0.070000,0.010000,0,0.020000,1
AL,35139,GRAYSVILLE,0.040000,0.100000,0.010000,0.040000,0.010000,1
AL,35142,HOOVER (JEFFERSON CO),0.040000,0.095000,0.010000,0.035000,0.010000,1
AL,35143,SHELBY COUNTY,0.040000,0.050000,0.010000,0,0,1
AL,35146,ST. CLAIR COUNTY,0.040000,0.060000,0,0,0.020000,1
AL,35147,SHELBY COUNTY,0.040000,0.050000,0.010000,0,0,2
AL,35148,SUMITON (WALKER CO),0.040000,0.095000,0.020000,0.035000,0,1
AL,35149,TALLADEGA COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35150,SYLACAUGA,0.040000,0.080000,0.010000,0.030000,0,4
AL,35151,TALLADEGA COUNTY,0.040000,0.070000,0.030000,0,0,3
AL,35160,TALLADEGA,0.040000,0.100000,0.010000,0.050000,0,2
AL,35161,TALLADEGA,0.040000,0.100000,0.010000,0.050000,0,2
AL,35171,THORSBY,0.040000,0.090000,0.020000,0.030000,0,1
AL,35172,BLOUNT COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35173,TRUSSVILLE (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35175,MARSHALL COUNTY,0.040000,0.050000,0.010000,0,0,1
AL,35176,SHELBY COUNTY,0.040000,0.050000,0.010000,0,0,1
AL,35178,VINCENT (SHELBY CO),0.040000,0.090000,0.010000,0.040000,0,1
AL,35179,CULLMAN COUNTY,0.040000,0.085000,0.045000,0,0,3
AL,35180,BLOUNT COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35181,BROOKSIDE UN,0.040000,0.080000,0.010000,0,0.030000,1
AL,35182,ST. CLAIR COUNTY,0.040000,0.060000,0,0,0.020000,1
AL,35183,COOSA COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35184,BIBB COUNTY,0.040000,0.080000,0.040000,0,0,1
AL,35185,WESTOVER,0.040000,0.090000,0.010000,0.040000,0,1
AL,35186,WILSONVILLE,0.040000,0.080000,0.010000,0.030000,0,1
AL,35187,WILTON,0.040000,0.080000,0.010000,0.030000,0,1
AL,35188,WOODSTOCK (BIBB CO),0.040000,0.100000,0.040000,0.020000,0,1
AL,35201,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35202,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35203,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35204,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35205,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,3
AL,35206,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35207,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35208,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35209,HOMEWOOD,0.040000,0.100000,0.010000,0.040000,0.010000,5
AL,35210,IRONDALE,0.040000,0.100000,0.010000,0.040000,0.010000,9
AL,35211,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,3
AL,35212,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35213,MOUNTAIN BROOK,0.040000,0.090000,0.010000,0.030000,0.010000,5
AL,35214,JEFFERSON COUNTY,0.040000,0.060000,0.010000,0,0.010000,3
AL,35215,CENTER POINT,0.040000,0.100000,0.010000,0.040000,0.010000,3
AL,35216,VESTAVIA HILLS (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,6
AL,35217,TARRANT,0.040000,0.100000,0.010000,0.040000,0.010000,3
AL,35218,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,3
AL,35219,HOMEWOOD,0.040000,0.100000,0.010000,0.040000,0.010000,5
AL,35220,CENTER POINT,0.040000,0.100000,0.010000,0.040000,0.010000,3
AL,35221,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35222,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35223,MOUNTAIN BROOK,0.040000,0.090000,0.010000,0.030000,0.010000,6
AL,35224,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35226,HOOVER (JEFFERSON CO),0.040000,0.095000,0.010000,0.035000,0.010000,6
AL,35228,MIDFIELD,0.040000,0.100000,0.010000,0.040000,0.010000,3
AL,35229,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35231,JEFFERSON COUNTY,0.040000,0.060000,0.010000,0,0.010000,2
AL,35232,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35233,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35234,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35235,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,6
AL,35236,HOOVER (JEFFERSON CO),0.040000,0.095000,0.010000,0.035000,0.010000,3
AL,35237,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35238,SHELBY COUNTY,0.040000,0.050000,0.010000,0,0,2
AL,35242,SHELBY COUNTY,0.040000,0.050000,0.010000,0,0,6
AL,35243,VESTAVIA HILLS (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,4
AL,35244,HOOVER (JEFFERSON CO),0.040000,0.095000,0.010000,0.035000,0.010000,5
AL,35246,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35249,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35253,HOMEWOOD,0.040000,0.100000,0.010000,0.040000,0.010000,3
AL,35254,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35255,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35259,HOMEWOOD,0.040000,0.100000,0.010000,0.040000,0.010000,3
AL,35260,HOOVER (JEFFERSON CO),0.040000,0.095000,0.010000,0.035000,0.010000,2
AL,35261,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35266,HOMEWOOD,0.040000,0.100000,0.010000,0.040000,0.010000,4
AL,35270,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35282,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35283,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35285,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35287,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35288,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35290,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35291,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35292,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35293,HOMEWOOD,0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35294,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35295,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35296,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35297,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35298,BIRMINGHAM (JEFFERSON CO),0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35401,TUSCALOOSA,0.040000,0.090000,0.030000,0.020000,0,1
AL,35402,TUSCALOOSA,0.040000,0.090000,0.030000,0.020000,0,1
AL,35403,TUSCALOOSA,0.040000,0.090000,0.030000,0.020000,0,1
AL,35404,TUSCALOOSA,0.040000,0.090000,0.030000,0.020000,0,1
AL,35405,TUSCALOOSA,0.040000,0.090000,0.030000,0.020000,0,2
AL,35406,TUSCALOOSA,0.040000,0.090000,0.030000,0.020000,0,1
AL,35407,TUSCALOOSA,0.040000,0.090000,0.030000,0.020000,0,1
AL,35440,TUSCALOOSA,0.040000,0.090000,0.030000,0.020000,0,1
AL,35441,HALE COUNTY,0.040000,0.070000,0.030000,0,0,2
AL,35442,ALICEVILLE,0.040000,0.090000,0.040000,0.010000,0,4
AL,35443,GREENE COUNTY,0.040000,0.070000,0.030000,0,0,2
AL,35444,BROOKWOOD,0.040000,0.090000,0.030000,0.020000,0,1
AL,35446,TUSCALOOSA COUNTY,0.040000,0.090000,0.050000,0,0,2
AL,35447,PICKENS COUNTY,0.040000,0.080000,0.040000,0,0,2
AL,35448,GREENE COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35449,TUSCALOOSA,0.040000,0.090000,0.030000,0.020000,0,1
AL,35452,NORTHPORT PJ,0.040000,0.090000,0.040000,0,0.010000,1
AL,35453,TUSCALOOSA PJ,0.040000,0.090000,0.040000,0,0.010000,2
AL,35456,TUSCALOOSA PJ,0.040000,0.090000,0.040000,0,0.010000,1
AL,35457,TUSCALOOSA COUNTY,0.040000,0.090000,0.050000,0,0,1
AL,35458,TUSCALOOSA COUNTY,0.040000,0.090000,0.050000,0,0,1
AL,35459,SUMTER COUNTY,0.040000,0.070000,0.030000,0,0,2
AL,35460,SUMTER COUNTY,0.040000,0.070000,0.030000,0,0,2
AL,35461,PICKENS COUNTY,0.040000,0.080000,0.040000,0,0,1
AL,35462,EUTAW,0.040000,0.100000,0.030000,0.030000,0,2
AL,35463,TUSCALOOSA COUNTY,0.040000,0.090000,0.050000,0,0,1
AL,35464,SUMTER COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35466,PICKENS COUNTY,0.040000,0.080000,0.040000,0,0,1
AL,35468,BROOKWOOD,0.040000,0.090000,0.030000,0.020000,0,2
AL,35469,GREENE COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35470,SUMTER COUNTY,0.040000,0.070000,0.030000,0,0,2
AL,35471,PICKENS COUNTY,0.040000,0.080000,0.040000,0,0,1
AL,35473,NORTHPORT,0.040000,0.090000,0.030000,0.020000,0,1
AL,35474,HALE COUNTY,0.040000,0.070000,0.030000,0,0,3
AL,35475,TUSCALOOSA PJ,0.040000,0.090000,0.040000,0,0.010000,1
AL,35476,NORTHPORT,0.040000,0.090000,0.030000,0.020000,0,1
AL,35477,SUMTER COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35478,TUSCALOOSA,0.040000,0.090000,0.030000,0.020000,0,1
AL,35480,TUSCALOOSA COUNTY,0.040000,0.090000,0.050000,0,0,1
AL,35481,PICKENS COUNTY,0.040000,0.080000,0.040000,0,0,3
AL,35482,TUSCALOOSA COUNTY,0.040000,0.090000,0.050000,0,0,1
AL,35486,TUSCALOOSA,0.040000,0.090000,0.030000,0.020000,0,1
AL,35487,TUSCALOOSA,0.040000,0.090000,0.030000,0.020000,0,1
AL,35490,VANCE PJ (TUSCALOOSA CO),0.040000,0.090000,0.040000,0,0.010000,1
AL,35491,GREENE COUNTY,0.040000,0.070000,0.030000,0,0,1
AL,35501,JASPER,0.040000,0.090000,0.020000,0.030000,0,1
AL,35502,JASPER,0.040000,0.090000,0.020000,0.030000,0,1
AL,35503,WALKER COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35504,WALKER COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35540,WINSTON COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35541,WINSTON COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35542,FAYETTE COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35543,BEAR CREEK,0.040000,0.090000,0.020000,0.030000,0,1
AL,35544,LAMAR COUNTY,0.040000,0.060000,0.020000,0,0,1
AL,35545,BELK,0.040000,0.070000,0.020000,0.010000,0,1
AL,35546,FAYETTE COUNTY,0.040000,0.060000,0.020000,0,0,1
